task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,initial_ph,target_ph,overshoot_cap_events,overshoot_cap_applied_steps,overshoot_cap_final_ml,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,label,training_seed,benchmark_seed,checkpoint_sha256,checkpoint_reward_variant,step_cost
1000101,1,triprotic,near,acid,separated,3,6.428,6.221,0,0,,0,0,0,0,0,50,0,0.15112615788937767,0.5000000000000002,0.5000000000000002,0.0,6.372126157889378,6.37,max_steps,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,2,monoprotic,medium,acid,single,1,3.513,1.532,0,0,,1,0,0,1,0,3,0,0.08453894730355538,7.66,7.66,0.0,1.6165389473035554,1.62,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,3,triprotic,medium,acid,separated,3,4.577,3.473,0,0,,1,0,0,1,0,7,0,0.09388374921800402,11.67,11.67,0.0,3.566883749218004,3.5700000000000003,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,4,diprotic,medium,base,separated,2,2.611,3.353,2,1,0.685,1,1,0,1,0,2,2,0.04826236347212687,4.12,1.37,2.75,3.3047376365278733,3.3000000000000003,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,5,diprotic,medium,acid,separated,2,4.465,3.519,1,0,0.525,1,0,0,1,0,2,1,0.05625244650297212,4.24,4.24,0.0,3.462747553497028,3.46,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,6,monoprotic,medium,base,single,1,2.331,3.555,2,1,0.13,1,1,0,1,0,5,2,0.025242298399489993,5.959999999999999,1.06,4.8999999999999995,3.52975770160051,3.5300000000000002,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,7,monoprotic,medium,base,single,1,2.88,4.116,1,0,0.305,1,1,0,1,0,3,1,0.04567523280197072,5.43,0.0,5.43,4.16167523280197,4.16,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,8,diprotic,far,acid,separated,2,4.65,1.806,0,0,,1,0,0,1,0,8,0,0.08657648913975269,25.959999999999997,25.959999999999997,0.0,1.8925764891397527,1.8900000000000001,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,9,diprotic,near,acid,separated,2,4.682,3.988,1,0,1.03,1,1,0,1,0,1,1,0.01732046669255949,2.06,2.06,0.0,3.9706795333074405,3.97,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,10,diprotic,near,acid,separated,2,5.979,5.703,0,0,,1,1,0,1,0,1,0,0.03672143318351484,2.06,2.06,0.0,5.739721433183515,5.74,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,11,diprotic,far,acid,separated,2,5.248,2.912,0,0,,1,0,0,1,0,6,0,0.0676867347947212,14.28,14.28,0.0,2.979686734794721,2.98,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,12,diprotic,near,base,separated,2,4.5,4.786,1,0,1.03,1,1,0,1,0,3,1,0.032790249087618406,3.6500000000000004,1.59,2.06,4.818790249087618,4.82,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,13,monoprotic,near,acid,single,1,6.315,5.788,2,2,0.515,1,1,0,1,0,3,3,0.0017061886529052828,3.6000000000000005,2.5700000000000003,1.03,5.786293811347095,5.79,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
1000101,14,triprotic,medium,acid,separated,3,4.463,3.136,3,1,0.26,1,1,0,1,0,3,3,0.023653085619801395,4.76,3.71,1.05,3.1123469143801987,3.11,measured_success,original_full,303,101,4004d7a09768fc5ac3f448523f53cb22210ed919ca7e713f13d9aa693cc19de5,full,0.005
